Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
RFN,Fertilizers by Nutrient,76,Brazil,5910,Export quantity,3102,Nutrient nitrogen N (total),2016,2016,t,77701.94,I,Imputed value
RFN,Fertilizers by Nutrient,76,Brazil,5157,Agricultural Use,3102,Nutrient nitrogen N (total),2016,2016,t,3632035,I,Imputed value
RFN,Fertilizers by Nutrient,76,Brazil,5159,Use per area of cropland,3102,Nutrient nitrogen N (total),2016,2016,kg/ha,51.68,E,Estimated value
RFN,Fertilizers by Nutrient,76,Brazil,5172,Use per capita,3102,Nutrient nitrogen N (total),2016,2016,kg/cap,17.87,E,Estimated value
RFN,Fertilizers by Nutrient,76,Brazil,5510,Production,3102,Nutrient nitrogen N (total),2017,2017,t,510760.96,E,Estimated value
RFN,Fertilizers by Nutrient,76,Brazil,5610,Import quantity,3102,Nutrient nitrogen N (total),2017,2017,t,4653257.87,I,Imputed value
RFN,Fertilizers by Nutrient,76,Brazil,5910,Export quantity,3102,Nutrient nitrogen N (total),2017,2017,t,68595.18,I,Imputed value
RFN,Fertilizers by Nutrient,76,Brazil,5157,Agricultural Use,3102,Nutrient nitrogen N (total),2017,2017,t,4556518,I,Imputed value
RFN,Fertilizers by Nutrient,76,Brazil,5159,Use per area of cropland,3102,Nutrient nitrogen N (total),2017,2017,kg/ha,64.56,E,Estimated value
RFN,Fertilizers by Nutrient,76,Brazil,5172,Use per capita,3102,Nutrient nitrogen N (total),2017,2017,kg/cap,22.26,E,Estimated value
RFN,Fertilizers by Nutrient,76,Brazil,5510,Production,3102,Nutrient nitrogen N (total),2018,2018,t,541930.88,E,Estimated value
RFN,Fertilizers by Nutrient,76,Brazil,5610,Import quantity,3102,Nutrient nitrogen N (total),2018,2018,t,4542946.53,I,Imputed value
RFN,Fertilizers by Nutrient,76,Brazil,5910,Export quantity,3102,Nutrient nitrogen N (total),2018,2018,t,67260.62,I,Imputed value
RFN,Fertilizers by Nutrient,76,Brazil,5157,Agricultural Use,3102,Nutrient nitrogen N (total),2018,2018,t,4593940,I,Imputed value
RFN,Fertilizers by Nutrient,76,Brazil,5159,Use per area of cropland,3102,Nutrient nitrogen N (total),2018,2018,kg/ha,65.12,E,Estimated value
RFN,Fertilizers by Nutrient,76,Brazil,5172,Use per capita,3102,Nutrient nitrogen N (total),2018,2018,kg/cap,22.29,E,Estimated value
RFN,Fertilizers by Nutrient,76,Brazil,5510,Production,3102,Nutrient nitrogen N (total),2019,2019,t,356784.6,E,Estimated value
RFN,Fertilizers by Nutrient,76,Brazil,5610,Import quantity,3102,Nutrient nitrogen N (total),2019,2019,t,4780940.86,I,Imputed value
RFN,Fertilizers by Nutrient,76,Brazil,5910,Export quantity,3102,Nutrient nitrogen N (total),2019,2019,t,44771.27,I,Imputed value
RFN,Fertilizers by Nutrient,76,Brazil,5157,Agricultural Use,3102,Nutrient nitrogen N (total),2019,2019,t,4911744,I,Imputed value
RFN,Fertilizers by Nutrient,76,Brazil,5159,Use per area of cropland,3102,Nutrient nitrogen N (total),2019,2019,kg/ha,69.65,E,Estimated value
RFN,Fertilizers by Nutrient,76,Brazil,5172,Use per capita,3102,Nutrient nitrogen N (total),2019,2019,kg/cap,23.68,E,Estimated value
RFN,Fertilizers by Nutrient,76,Brazil,5510,Production,3102,Nutrient nitrogen N (total),2020,2020,t,333703.5,E,Estimated value
RFN,Fertilizers by Nutrient,76,Brazil,5610,Import quantity,3102,Nutrient nitrogen N (total),2020,2020,t,5711770.59,I,Imputed value
RFN,Fertilizers by Nutrient,76,Brazil,5910,Export quantity,3102,Nutrient nitrogen N (total),2020,2020,t,60244.56,I,Imputed value
RFN,Fertilizers by Nutrient,76,Brazil,5157,Agricultural Use,3102,Nutrient nitrogen N (total),2020,2020,t,5910866,E,Estimated value
RFN,Fertilizers by Nutrient,76,Brazil,5159,Use per area of cropland,3102,Nutrient nitrogen N (total),2020,2020,kg/ha,83.85,E,Estimated value
RFN,Fertilizers by Nutrient,76,Brazil,5172,Use per capita,3102,Nutrient nitrogen N (total),2020,2020,kg/cap,28.33,E,Estimated value
RFN,Fertilizers by Nutrient,76,Brazil,5510,Production,3102,Nutrient nitrogen N (total),2021,2021,t,704574.04,E,Estimated value
RFN,Fertilizers by Nutrient,76,Brazil,5610,Import quantity,3102,Nutrient nitrogen N (total),2021,2021,t,6715004.73,I,Imputed value
RFN,Fertilizers by Nutrient,76,Brazil,5910,Export quantity,3102,Nutrient nitrogen N (total),2021,2021,t,78363.01,I,Imputed value
RFN,Fertilizers by Nutrient,76,Brazil,5157,Agricultural Use,3102,Nutrient nitrogen N (total),2021,2021,t,6700508,E,Estimated value
RFN,Fertilizers by Nutrient,76,Brazil,5159,Use per area of cropland,3102,Nutrient nitrogen N (total),2021,2021,kg/ha,95.08,E,Estimated value
RFN,Fertilizers by Nutrient,76,Brazil,5172,Use per capita,3102,Nutrient nitrogen N (total),2021,2021,kg/cap,31.98,E,Estimated value
RFN,Fertilizers by Nutrient,76,Brazil,5510,Production,3102,Nutrient nitrogen N (total),2022,2022,t,836234.06,E,Estimated value
RFN,Fertilizers by Nutrient,76,Brazil,5610,Import quantity,3102,Nutrient nitrogen N (total),2022,2022,t,6132361.44,I,Imputed value
RFN,Fertilizers by Nutrient,76,Brazil,5910,Export quantity,3102,Nutrient nitrogen N (total),2022,2022,t,75494.58,I,Imputed value
RFN,Fertilizers by Nutrient,76,Brazil,5157,Agricultural Use,3102,Nutrient nitrogen N (total),2022,2022,t,6775062,E,Estimated value
RFN,Fertilizers by Nutrient,76,Brazil,5159,Use per area of cropland,3102,Nutrient nitrogen N (total),2022,2022,kg/ha,96.18,E,Estimated value
RFN,Fertilizers by Nutrient,76,Brazil,5172,Use per capita,3102,Nutrient nitrogen N (total),2022,2022,kg/cap,32.22,E,Estimated value
RFN,Fertilizers by Nutrient,76,Brazil,5510,Production,3103,Nutrient phosphate P2O5 (total),2010,2010,t,1924612.55,E,Estimated value
RFN,Fertilizers by Nutrient,76,Brazil,5610,Import quantity,3103,Nutrient phosphate P2O5 (total),2010,2010,t,1525019.93,I,Imputed value
RFN,Fertilizers by Nutrient,76,Brazil,5910,Export quantity,3103,Nutrient phosphate P2O5 (total),2010,2010,t,142037.39,I,Imputed value
RFN,Fertilizers by Nutrient,76,Brazil,5157,Agricultural Use,3103,Nutrient phosphate P2O5 (total),2010,2010,t,3307595,I,Imputed value
RFN,Fertilizers by Nutrient,76,Brazil,5159,Use per area of cropland,3103,Nutrient phosphate P2O5 (total),2010,2010,kg/ha,53.65,E,Estimated value
RFN,Fertilizers by Nutrient,76,Brazil,5172,Use per capita,3103,Nutrient phosphate P2O5 (total),2010,2010,kg/cap,17.08,E,Estimated value
RFN,Fertilizers by Nutrient,76,Brazil,5510,Production,3103,Nutrient phosphate P2O5 (total),2011,2011,t,2007276.53,E,Estimated value
RFN,Fertilizers by Nutrient,76,Brazil,5610,Import quantity,3103,Nutrient phosphate P2O5 (total),2011,2011,t,2415725.95,I,Imputed value
RFN,Fertilizers by Nutrient,76,Brazil,5910,Export quantity,3103,Nutrient phosphate P2O5 (total),2011,2011,t,133749.35,I,Imputed value
RFN,Fertilizers by Nutrient,76,Brazil,5157,Agricultural Use,3103,Nutrient phosphate P2O5 (total),2011,2011,t,4289256,I,Imputed value
RFN,Fertilizers by Nutrient,76,Brazil,5159,Use per area of cropland,3103,Nutrient phosphate P2O5 (total),2011,2011,kg/ha,69.27,E,Estimated value
RFN,Fertilizers by Nutrient,76,Brazil,5172,Use per capita,3103,Nutrient phosphate P2O5 (total),2011,2011,kg/cap,21.96,E,Estimated value
RFN,Fertilizers by Nutrient,76,Brazil,5510,Production,3103,Nutrient phosphate P2O5 (total),2012,2012,t,1977859.53,E,Estimated value
RFN,Fertilizers by Nutrient,76,Brazil,5610,Import quantity,3103,Nutrient phosphate P2O5 (total),2012,2012,t,2210503.94,I,Imputed value
RFN,Fertilizers by Nutrient,76,Brazil,5910,Export quantity,3103,Nutrient phosphate P2O5 (total),2012,2012,t,100740.26,I,Imputed value
RFN,Fertilizers by Nutrient,76,Brazil,5157,Agricultural Use,3103,Nutrient phosphate P2O5 (total),2012,2012,t,4087623,I,Imputed value
RFN,Fertilizers by Nutrient,76,Brazil,5159,Use per area of cropland,3103,Nutrient phosphate P2O5 (total),2012,2012,kg/ha,65.73,E,Estimated value
RFN,Fertilizers by Nutrient,76,Brazil,5172,Use per capita,3103,Nutrient phosphate P2O5 (total),2012,2012,kg/cap,20.76,E,Estimated value
RFN,Fertilizers by Nutrient,76,Brazil,5510,Production,3103,Nutrient phosphate P2O5 (total),2013,2013,t,2060970.96,E,Estimated value
RFN,Fertilizers by Nutrient,76,Brazil,5610,Import quantity,3103,Nutrient phosphate P2O5 (total),2013,2013,t,2977597.18,I,Imputed value
RFN,Fertilizers by Nutrient,76,Brazil,5910,Export quantity,3103,Nutrient phosphate P2O5 (total),2013,2013,t,117693.06,I,Imputed value
RFN,Fertilizers by Nutrient,76,Brazil,5157,Agricultural Use,3103,Nutrient phosphate P2O5 (total),2013,2013,t,4922892,I,Imputed value
RFN,Fertilizers by Nutrient,76,Brazil,5159,Use per area of cropland,3103,Nutrient phosphate P2O5 (total),2013,2013,kg/ha,78.82,E,Estimated value
RFN,Fertilizers by Nutrient,76,Brazil,5172,Use per capita,3103,Nutrient phosphate P2O5 (total),2013,2013,kg/cap,24.8,E,Estimated value
RFN,Fertilizers by Nutrient,76,Brazil,5510,Production,3103,Nutrient phosphate P2O5 (total),2014,2014,t,2097133.41,E,Estimated value
RFN,Fertilizers by Nutrient,76,Brazil,5610,Import quantity,3103,Nutrient phosphate P2O5 (total),2014,2014,t,3121919.46,I,Imputed value
RFN,Fertilizers by Nutrient,76,Brazil,5910,Export quantity,3103,Nutrient phosphate P2O5 (total),2014,2014,t,123614.58,I,Imputed value
RFN,Fertilizers by Nutrient,76,Brazil,5157,Agricultural Use,3103,Nutrient phosphate P2O5 (total),2014,2014,t,5098098,I,Imputed value
RFN,Fertilizers by Nutrient,76,Brazil,5159,Use per area of cropland,3103,Nutrient phosphate P2O5 (total),2014,2014,kg/ha,81.28,E,Estimated value
RFN,Fertilizers by Nutrient,76,Brazil,5172,Use per capita,3103,Nutrient phosphate P2O5 (total),2014,2014,kg/cap,25.48,E,Estimated value
RFN,Fertilizers by Nutrient,76,Brazil,5510,Production,3103,Nutrient phosphate P2O5 (total),2015,2015,t,2071942.97,E,Estimated value
RFN,Fertilizers by Nutrient,76,Brazil,5610,Import quantity,3103,Nutrient phosphate P2O5 (total),2015,2015,t,2223193.54,I,Imputed value
RFN,Fertilizers by Nutrient,76,Brazil,5910,Export quantity,3103,Nutrient phosphate P2O5 (total),2015,2015,t,91340.54,I,Imputed value
RFN,Fertilizers by Nutrient,76,Brazil,5157,Agricultural Use,3103,Nutrient phosphate P2O5 (total),2015,2015,t,4323014,I,Imputed value
RFN,Fertilizers by Nutrient,76,Brazil,5159,Use per area of cropland,3103,Nutrient phosphate P2O5 (total),2015,2015,kg/ha,68.63,E,Estimated value
RFN,Fertilizers by Nutrient,76,Brazil,5172,Use per capita,3103,Nutrient phosphate P2O5 (total),2015,2015,kg/cap,21.44,E,Estimated value
RFN,Fertilizers by Nutrient,76,Brazil,5510,Production,3103,Nutrient phosphate P2O5 (total),2016,2016,t,1518396.05,E,Estimated value
RFN,Fertilizers by Nutrient,76,Brazil,5610,Import quantity,3103,Nutrient phosphate P2O5 (total),2016,2016,t,2724306.03,I,Imputed value
RFN,Fertilizers by Nutrient,76,Brazil,5910,Export quantity,3103,Nutrient phosphate P2O5 (total),2016,2016,t,68609.17,I,Imputed value
RFN,Fertilizers by Nutrient,76,Brazil,5157,Agricultural Use,3103,Nutrient phosphate P2O5 (total),2016,2016,t,3984785,I,Imputed value
RFN,Fertilizers by Nutrient,76,Brazil,5159,Use per area of cropland,3103,Nutrient phosphate P2O5 (total),2016,2016,kg/ha,63,E,Estimated value
RFN,Fertilizers by Nutrient,76,Brazil,5172,Use per capita,3103,Nutrient phosphate P2O5 (total),2016,2016,kg/cap,19.61,E,Estimated value
RFN,Fertilizers by Nutrient,76,Brazil,5510,Production,3103,Nutrient phosphate P2O5 (total),2017,2017,t,1627806.81,E,Estimated value
RFN,Fertilizers by Nutrient,76,Brazil,5610,Import quantity,3103,Nutrient phosphate P2O5 (total),2017,2017,t,3204906.16,I,Imputed value
RFN,Fertilizers by Nutrient,76,Brazil,5910,Export quantity,3103,Nutrient phosphate P2O5 (total),2017,2017,t,61062.17,I,Imputed value
RFN,Fertilizers by Nutrient,76,Brazil,5157,Agricultural Use,3103,Nutrient phosphate P2O5 (total),2017,2017,t,4574008,I,Imputed value
RFN,Fertilizers by Nutrient,76,Brazil,5159,Use per area of cropland,3103,Nutrient phosphate P2O5 (total),2017,2017,kg/ha,72.01,E,Estimated value
RFN,Fertilizers by Nutrient,76,Brazil,5172,Use per capita,3103,Nutrient phosphate P2O5 (total),2017,2017,kg/cap,22.34,E,Estimated value
RFN,Fertilizers by Nutrient,76,Brazil,5510,Production,3103,Nutrient phosphate P2O5 (total),2018,2018,t,2031722.93,E,Estimated value
RFN,Fertilizers by Nutrient,76,Brazil,5610,Import quantity,3103,Nutrient phosphate P2O5 (total),2018,2018,t,3147369.62,I,Imputed value
RFN,Fertilizers by Nutrient,76,Brazil,5910,Export quantity,3103,Nutrient phosphate P2O5 (total),2018,2018,t,56125.25,I,Imputed value
RFN,Fertilizers by Nutrient,76,Brazil,5157,Agricultural Use,3103,Nutrient phosphate P2O5 (total),2018,2018,t,5106939,I,Imputed value
RFN,Fertilizers by Nutrient,76,Brazil,5159,Use per area of cropland,3103,Nutrient phosphate P2O5 (total),2018,2018,kg/ha,80.43,E,Estimated value
RFN,Fertilizers by Nutrient,76,Brazil,5172,Use per capita,3103,Nutrient phosphate P2O5 (total),2018,2018,kg/cap,24.78,E,Estimated value
RFN,Fertilizers by Nutrient,76,Brazil,5510,Production,3103,Nutrient phosphate P2O5 (total),2019,2019,t,1463102.84,E,Estimated value
RFN,Fertilizers by Nutrient,76,Brazil,5610,Import quantity,3103,Nutrient phosphate P2O5 (total),2019,2019,t,3493347.25,I,Imputed value
RFN,Fertilizers by Nutrient,76,Brazil,5910,Export quantity,3103,Nutrient phosphate P2O5 (total),2019,2019,t,36196.91,I,Imputed value
RFN,Fertilizers by Nutrient,76,Brazil,5157,Agricultural Use,3103,Nutrient phosphate P2O5 (total),2019,2019,t,4860258,I,Imputed value
RFN,Fertilizers by Nutrient,76,Brazil,5159,Use per area of cropland,3103,Nutrient phosphate P2O5 (total),2019,2019,kg/ha,76.58,E,Estimated value
RFN,Fertilizers by Nutrient,76,Brazil,5172,Use per capita,3103,Nutrient phosphate P2O5 (total),2019,2019,kg/cap,23.43,E,Estimated value
RFN,Fertilizers by Nutrient,76,Brazil,5510,Production,3103,Nutrient phosphate P2O5 (total),2020,2020,t,1991983.14,E,Estimated value
RFN,Fertilizers by Nutrient,76,Brazil,5610,Import quantity,3103,Nutrient phosphate P2O5 (total),2020,2020,t,3851367.15,I,Imputed value
RFN,Fertilizers by Nutrient,76,Brazil,5910,Export quantity,3103,Nutrient phosphate P2O5 (total),2020,2020,t,50221.36,I,Imputed value
RFN,Fertilizers by Nutrient,76,Brazil,5157,Agricultural Use,3103,Nutrient phosphate P2O5 (total),2020,2020,t,7233810,E,Estimated value
RFN,Fertilizers by Nutrient,76,Brazil,5159,Use per area of cropland,3103,Nutrient phosphate P2O5 (total),2020,2020,kg/ha,114.02,E,Estimated value
RFN,Fertilizers by Nutrient,76,Brazil,5172,Use per capita,3103,Nutrient phosphate P2O5 (total),2020,2020,kg/cap,34.67,E,Estimated value
RFN,Fertilizers by Nutrient,76,Brazil,5510,Production,3103,Nutrient phosphate P2O5 (total),2021,2021,t,1925997.87,E,Estimated value
RFN,Fertilizers by Nutrient,76,Brazil,5610,Import quantity,3103,Nutrient phosphate P2O5 (total),2021,2021,t,4886937.64,I,Imputed value
RFN,Fertilizers by Nutrient,76,Brazil,5910,Export quantity,3103,Nutrient phosphate P2O5 (total),2021,2021,t,61466.21,I,Imputed value
RFN,Fertilizers by Nutrient,76,Brazil,5157,Agricultural Use,3103,Nutrient phosphate P2O5 (total),2021,2021,t,6623589,E,Estimated value
RFN,Fertilizers by Nutrient,76,Brazil,5159,Use per area of cropland,3103,Nutrient phosphate P2O5 (total),2021,2021,kg/ha,104.44,E,Estimated value
RFN,Fertilizers by Nutrient,76,Brazil,5172,Use per capita,3103,Nutrient phosphate P2O5 (total),2021,2021,kg/cap,31.61,E,Estimated value
RFN,Fertilizers by Nutrient,76,Brazil,5510,Production,3103,Nutrient phosphate P2O5 (total),2022,2022,t,2016994.17,E,Estimated value
RFN,Fertilizers by Nutrient,76,Brazil,5610,Import quantity,3103,Nutrient phosphate P2O5 (total),2022,2022,t,3916310.65,I,Imputed value
RFN,Fertilizers by Nutrient,76,Brazil,5910,Export quantity,3103,Nutrient phosphate P2O5 (total),2022,2022,t,37396.08,I,Imputed value
RFN,Fertilizers by Nutrient,76,Brazil,5157,Agricultural Use,3103,Nutrient phosphate P2O5 (total),2022,2022,t,5735127,E,Estimated value
RFN,Fertilizers by Nutrient,76,Brazil,5159,Use per area of cropland,3103,Nutrient phosphate P2O5 (total),2022,2022,kg/ha,90.46,E,Estimated value
RFN,Fertilizers by Nutrient,76,Brazil,5172,Use per capita,3103,Nutrient phosphate P2O5 (total),2022,2022,kg/cap,27.27,E,Estimated value
RFN,Fertilizers by Nutrient,76,Brazil,5510,Production,3104,Nutrient potash K2O (total),2010,2010,t,385244,A,Official figure
RFN,Fertilizers by Nutrient,76,Brazil,5610,Import quantity,3104,Nutrient potash K2O (total),2010,2010,t,3743264.18,I,Imputed value
RFN,Fertilizers by Nutrient,76,Brazil,5910,Export quantity,3104,Nutrient potash K2O (total),2010,2010,t,102783.8,I,Imputed value
RFN,Fertilizers by Nutrient,76,Brazil,5157,Agricultural Use,3104,Nutrient potash K2O (total),2010,2010,t,4025709,I,Imputed value
RFN,Fertilizers by Nutrient,76,Brazil,5159,Use per area of cropland,3104,Nutrient potash K2O (total),2010,2010,kg/ha,62.03,E,Estimated value
RFN,Fertilizers by Nutrient,76,Brazil,5172,Use per capita,3104,Nutrient potash K2O (total),2010,2010,kg/cap,20.78,E,Estimated value
RFN,Fertilizers by Nutrient,76,Brazil,5510,Production,3104,Nutrient potash K2O (total),2011,2011,t,359221,A,Official figure
RFN,Fertilizers by Nutrient,76,Brazil,5610,Import quantity,3104,Nutrient potash K2O (total),2011,2011,t,4703300.6,I,Imputed value
RFN,Fertilizers by Nutrient,76,Brazil,5910,Export quantity,3104,Nutrient potash K2O (total),2011,2011,t,93646.69,I,Imputed value
RFN,Fertilizers by Nutrient,76,Brazil,5157,Agricultural Use,3104,Nutrient potash K2O (total),2011,2011,t,4968786,I,Imputed value
RFN,Fertilizers by Nutrient,76,Brazil,5159,Use per area of cropland,3104,Nutrient potash K2O (total),2011,2011,kg/ha,76.23,E,Estimated value
RFN,Fertilizers by Nutrient,76,Brazil,5172,Use per capita,3104,Nutrient potash K2O (total),2011,2011,kg/cap,25.44,E,Estimated value
RFN,Fertilizers by Nutrient,76,Brazil,5510,Production,3104,Nutrient potash K2O (total),2012,2012,t,318149,A,Official figure
RFN,Fertilizers by Nutrient,76,Brazil,5610,Import quantity,3104,Nutrient potash K2O (total),2012,2012,t,4332029.16,I,Imputed value
RFN,Fertilizers by Nutrient,76,Brazil,5910,Export quantity,3104,Nutrient potash K2O (total),2012,2012,t,77389.48,I,Imputed value
RFN,Fertilizers by Nutrient,76,Brazil,5157,Agricultural Use,3104,Nutrient potash K2O (total),2012,2012,t,4572780,I,Imputed value
RFN,Fertilizers by Nutrient,76,Brazil,5159,Use per area of cropland,3104,Nutrient potash K2O (total),2012,2012,kg/ha,69.85,E,Estimated value
RFN,Fertilizers by Nutrient,76,Brazil,5172,Use per capita,3104,Nutrient potash K2O (total),2012,2012,kg/cap,23.23,E,Estimated value
RFN,Fertilizers by Nutrient,76,Brazil,5510,Production,3104,Nutrient potash K2O (total),2013,2013,t,285445,A,Official figure
RFN,Fertilizers by Nutrient,76,Brazil,5610,Import quantity,3104,Nutrient potash K2O (total),2013,2013,t,4981296.31,I,Imputed value
RFN,Fertilizers by Nutrient,76,Brazil,5910,Export quantity,3104,Nutrient potash K2O (total),2013,2013,t,109751.54,I,Imputed value
RFN,Fertilizers by Nutrient,76,Brazil,5157,Agricultural Use,3104,Nutrient potash K2O (total),2013,2013,t,5156986,I,Imputed value
RFN,Fertilizers by Nutrient,76,Brazil,5159,Use per area of cropland,3104,Nutrient potash K2O (total),2013,2013,kg/ha,78.44,E,Estimated value
RFN,Fertilizers by Nutrient,76,Brazil,5172,Use per capita,3104,Nutrient potash K2O (total),2013,2013,kg/cap,25.98,E,Estimated value
RFN,Fertilizers by Nutrient,76,Brazil,5510,Production,3104,Nutrient potash K2O (total),2014,2014,t,285566,A,Official figure
RFN,Fertilizers by Nutrient,76,Brazil,5610,Import quantity,3104,Nutrient potash K2O (total),2014,2014,t,5556996.12,I,Imputed value
RFN,Fertilizers by Nutrient,76,Brazil,5910,Export quantity,3104,Nutrient potash K2O (total),2014,2014,t,107098.29,I,Imputed value
RFN,Fertilizers by Nutrient,76,Brazil,5157,Agricultural Use,3104,Nutrient potash K2O (total),2014,2014,t,5735462,I,Imputed value
RFN,Fertilizers by Nutrient,76,Brazil,5159,Use per area of cropland,3104,Nutrient potash K2O (total),2014,2014,kg/ha,86.87,E,Estimated value
RFN,Fertilizers by Nutrient,76,Brazil,5172,Use per capita,3104,Nutrient potash K2O (total),2014,2014,kg/cap,28.67,E,Estimated value
RFN,Fertilizers by Nutrient,76,Brazil,5510,Production,3104,Nutrient potash K2O (total),2015,2015,t,279139,A,Official figure
RFN,Fertilizers by Nutrient,76,Brazil,5610,Import quantity,3104,Nutrient potash K2O (total),2015,2015,t,4798716.45,I,Imputed value
RFN,Fertilizers by Nutrient,76,Brazil,5910,Export quantity,3104,Nutrient potash K2O (total),2015,2015,t,87421.62,I,Imputed value
